source,target,similarity
상담사:,고객:,0.9391769766807556
상담사:,"네,",0.8681493997573853
상담사:,"뭐야,",0.834185004234314
상담사:,바꾸려고요.,0.8338847756385803
상담사:,선택약정,0.8330289721488953
상담사:,해지하실,0.8303653597831726
상담사:,나오네요.,0.8292207717895508
상담사:,가입하려고요.,0.8288687467575073
상담사:,진짜,0.828245222568512
상담사:,가입한,0.8275920748710632
상담사:,해지를,0.8271644115447998
상담사:,신규,0.8260133266448975
상담사:,LGU+입니다.,0.8254906535148621
상담사:,하려고,0.8249712586402893
상담사:,알려주시겠습니까?,0.8249626159667969
상담사:,부가서비스,0.824386477470398
상담사:,안녕하세요?,0.8238824009895325
상담사:,분실했는데,0.8236935138702393
상담사:,결합상품,0.8236818313598633
상담사:,잃어버렸습니다.,0.823560893535614
고객:,부가서비스,0.8318796753883362
고객:,멤버십,0.825295627117157
고객:,"뭐야,",0.8154822587966919
고객:,포인트를,0.8105843663215637
고객:,안녕하세요.,0.802777111530304
고객:,가입한,0.8008538484573364
고객:,선택약정,0.8005990982055664
고객:,진짜,0.800428032875061
고객:,해지하시겠습니까?,0.7968713045120239
고객:,노트북이,0.7953223586082458
고객:,납부에,0.7937292456626892
고객:,결합상품,0.7933475971221924
고객:,분실했는데,0.7930499911308289
고객:,나오네요.,0.7917429208755493
고객:,해지하실,0.7913673520088196
고객:,연결이,0.790996253490448
고객:,핸드폰을,0.7906987071037292
고객:,청구서에,0.7905353903770447
고객:,청구서,0.7900475859642029
"네,",은행명을,0.8970896005630493
"네,",계좌번호와,0.8957251310348511
"네,",바꾸려고요.,0.8956410884857178
"네,",그냥,0.895344078540802
"네,",<CARD_NUMBER>입니다.,0.8905109763145447
"네,",변경에,0.886529266834259
"네,",해지를,0.8850999474525452
"네,",<BANK_NAME>,0.879797637462616
"네,",서비스요.,0.8773841261863708
"네,",계좌번호를,0.8769069910049438
"네,","<BANK_NAME>,",0.8751765489578247
"네,",사유는,0.8746039271354675
"네,",신고가,0.8740851879119873
"네,",은행명과,0.8740245699882507
"네,",접수를,0.8732904195785522
"네,",한번,0.8731368780136108
"네,",돼서요.,0.8727802038192749
"네,",카드입니다.,0.8722811341285706
"네,",해지에,0.87077796459198
"네,",처리를,0.8699411153793335
"뭐야,",생각하는데요.,0.9904733300209044
"뭐야,",미납은,0.9885429739952089
"뭐야,",나왔다고,0.988031268119812
"뭐야,",없으십니다.,0.9873706698417664
"뭐야,",진짜,0.9873491525650024
"뭐야,",하시겠어요?,0.9850127696990968
"뭐야,",문제로,0.9846044182777404
"뭐야,",해봐!,0.9823492765426636
"뭐야,",나왔는지,0.9821657538414
"뭐야,",번호의,0.9818138480186462
"뭐야,",분실했는데,0.9814053177833556
"뭐야,",잃어버렸습니다.,0.9807737469673156
"뭐야,",얼마,0.98076069355011
바꾸려고요.,분실신고를,0.9860886931419371
바꾸려고요.,해지를,0.9845808148384094
바꾸려고요.,회사로,0.982513964176178
바꾸려고요.,될까요?,0.9819035530090332
바꾸려고요.,알려주시겠습니까?,0.9809984564781188
바꾸려고요.,사유는,0.9806897044181824
바꾸려고요.,여쭤봐도,0.9803658127784728
바꾸려고요.,접수를,0.976628303527832
바꾸려고요.,가입을,0.9757844805717468
바꾸려고요.,곳으로,0.9755095839500428
바꾸려고요.,속도,0.97535640001297
바꾸려고요.,위약금이,0.9736871123313904
바꾸려고요.,돼서요.,0.97223961353302
바꾸려고요.,이사를,0.972040593624115
바꾸려고요.,측정을,0.9719906449317932
바꾸려고요.,알려주시겠어요?,0.971130073070526
바꾸려고요.,가입하신,0.9710208773612976
선택약정,사용하고,0.9927166104316713
선택약정,내가,0.989924430847168
선택약정,이,0.9897641539573668
선택약정,하려고,0.9897188544273376
선택약정,태블릿이,0.9890016913414
선택약정,분실했는데,0.9889827370643616
선택약정,진짜,0.9888845086097716
선택약정,개통하고,0.9888353943824768
선택약정,할인은,0.9881284832954408
선택약정,새로,0.9879459738731384
선택약정,포인트를,0.9877443313598632
선택약정,하는,0.9872602224349976
선택약정,연결이,0.9872258305549622
선택약정,적립하고,0.9869917631149292
선택약정,노트북이,0.9868184924125672
선택약정,"야,",0.9863436818122864
선택약정,정지를,0.9862006902694702
선택약정,관련해서,0.984906792640686
선택약정,결합상품,0.9846038818359376
선택약정,신규,0.9844717979431152
해지하실,싶은,0.9915114045143129
해지하실,결합상품을,0.9908848404884338
나오네요.,연결이,0.9920111298561096
나오네요.,와이파이가,0.9916384220123292
나오네요.,태블릿이,0.9884209036827089
나오네요.,적립하고,0.9873709082603456
나오네요.,분실했는데,0.9871190190315248
나오네요.,노트북이,0.9868484139442444
나오네요.,'+,0.9864271879196168
나오네요.,하려고,0.98633074760437
나오네요.,잃어버렸어요.,0.986183762550354
나오네요.,결합상품,0.986037015914917
나오네요.,분실했어요.,0.9857221841812134
나오네요.,느립니다.,0.9849326014518738
나오네요.,잃어버렸습니다.,0.9844762086868286
나오네요.,진짜,0.9841696619987488
나오네요.,관련해서,0.984120786190033
나오네요.,하는,0.9840046167373656
나오네요.,해지하실,0.983829379081726
나오네요.,신규,0.9837403893470764
나오네요.,사용하고,0.9823932647705078
나오네요.,신청할,0.982388436794281
가입하려고요.,신규,0.9956693053245544
가입하려고요.,설치하고,0.9933483600616456
가입하려고요.,가입한,0.9917354583740234
가입하려고요.,안녕하세요!,0.9909437894821168
가입하려고요.,확인하고,0.9865328073501588
가입하려고요.,이,0.9861236810684204
가입하려고요.,개통하고,0.9855495095252992
가입하려고요.,수리하고,0.9850002527236938
가입하려고요.,포인트를,0.984488606452942
가입하려고요.,분실했는데,0.9842960834503174
가입하려고요.,새로,0.9838594198226928
가입하려고요.,진짜,0.9838191866874696
가입하려고요.,도와줘!,0.9829736351966858
가입하려고요.,잃어버렸어요.,0.982627809047699
가입하려고요.,연결이,0.9824140667915344
가입하려고요.,새,0.981042206287384
진짜,분실했는데,0.9962170720100404
진짜,이,0.9952058792114258
진짜,잃어버렸어요.,0.9927366375923156
진짜,하려고,0.9923805594444276
진짜,주신,0.9917885065078736
진짜,'+,0.9914040565490724
진짜,가입한,0.9912598133087158
진짜,잃어버렸습니다.,0.9908896684646606
진짜,분실했어요.,0.990680456161499
진짜,문제로,0.9906792044639589
진짜,나왔는지,0.990515410900116
진짜,신규,0.9904274940490724
진짜,"야,",0.9903037548065186
진짜,하는,0.990111529827118
진짜,연결이,0.9897907972335817
진짜,태블릿이,0.9896029829978944
진짜,사용하고,0.989462912082672
진짜,적립하고,0.9892922639846802
가입한,안녕하세요!,0.9913988709449768
가입한,분실했는데,0.9897926449775696
가입한,수리하고,0.9865838885307312
가입한,연결이,0.982570230960846
가입한,와이파이가,0.9815117716789246
해지를,접수를,0.9927515387535096
해지를,가입하신,0.9916151762008668
해지를,환불은,0.99042409658432
해지를,측정한,0.9887020587921144
해지를,가게,0.9885517954826356
해지를,말씀하세요.,0.9873536825180054
해지를,옮겨!,0.9866034984588624
해지를,알려주시겠어요?,0.985915184020996
해지를,와!,0.9857670664787292
해지를,봐줬으면,0.9847590923309326
해지를,<MODEL_NAME>이죠?,0.9844396710395812
해지를,옮기려고요.,0.984127163887024
신규,이,0.9922142028808594
신규,가입한,0.9917163252830504
신규,안녕하세요!,0.991399109363556
신규,분실했는데,0.990341305732727
신규,수리하고,0.9895930886268616
신규,잃어버렸어요.,0.9895653128623962
신규,'+,0.9878259301185608
신규,연결이,0.9876284003257751
신규,도와줘!,0.98748117685318
신규,개통하고,0.9872963428497314
신규,봐줘!,0.9869635105133056
신규,와이파이가,0.9862083792686462
신규,하려고,0.9859901070594788
신규,분실했어요.,0.9852644205093384
신규,신청합니다.,0.9850499629974364
LGU+입니다.,개통하고,0.986191749572754
LGU+입니다.,새,0.9858921766281128
LGU+입니다.,물어볼,0.9851475954055786
LGU+입니다.,사용하고,0.9845446944236756
LGU+입니다.,정지를,0.9821255803108216
LGU+입니다.,선택약정,0.9820728302001952
LGU+입니다.,하려고,0.9813957810401917
LGU+입니다.,내가,0.9811096787452698
LGU+입니다.,가입한,0.9806370139122008
LGU+입니다.,납부에,0.9805248975753784
LGU+입니다.,가입하려고요.,0.980355978012085
LGU+입니다.,포인트를,0.979933738708496
LGU+입니다.,이,0.9793603420257568
LGU+입니다.,신규,0.9790664911270142
LGU+입니다.,설치하고,0.9785658717155457
LGU+입니다.,추가하고,0.9782498478889464
LGU+입니다.,새로,0.9780475497245787
LGU+입니다.,기종으로,0.97706401348114
LGU+입니다.,결합할인에,0.976717472076416
하려고,"야,",0.994771420955658
하려고,정지를,0.9937400817871094
하려고,태블릿이,0.9935892820358276
하려고,내가,0.9935623407363892
하려고,해지하실,0.9935104846954346
하려고,분실했는데,0.9934571981430054
하려고,추가하고,0.9932826161384584
하려고,느립니다.,0.99300217628479
하려고,적립하고,0.9928554892539978
하려고,씨발.,0.99234277009964
하려고,이,0.9922775030136108
하려고,고객센터입니다.,0.9920041561126708
하려고,결합상품을,0.991807460784912
알려주시겠습니까?,해지를,0.9933125376701356
알려주시겠습니까?,접수를,0.9893923997879028
알려주시겠습니까?,말씀하세요.,0.9882925152778624
알려주시겠습니까?,가입하신,0.9869164228439332
알려주시겠습니까?,환불은,0.9867597222328186
알려주시겠습니까?,해지할,0.9862964153289796
알려주시겠습니까?,봐주세요!,0.9855936765670776
알려주시겠습니까?,측정한,0.9852844476699828
알려주시겠습니까?,위해,0.9851741790771484
알려주시겠습니까?,연결되지,0.984091579914093
알려주시겠습니까?,돼서요.,0.983680248260498
알려주시겠습니까?,기다리라고,0.9836333394050598
알려주시겠습니까?,'+,0.9824095368385316
부가서비스,핸드폰을,0.9763562679290771
부가서비스,휴대폰을,0.9741141200065612
부가서비스,TV가,0.9723081588745116
부가서비스,멤버십,0.9714499115943908
부가서비스,폰이,0.9706838130950928
