source,target,weight,source_community,target_community
결제를,포인트,0.9962220788002014,0,0
결제를,서류와,0.9961458444595336,0,0
포인트,동봉된,0.9969620108604432,0,0
포인트,서류와,0.9967642426490784,0,0
포인트,다,0.9966982007026672,0,0
포인트,어디인가요,0.9966386556625366,0,8
포인트,그래,0.9962607622146606,0,0
포인트,멤버십에,0.9962494373321532,0,0
포인트,함께,0.9961660504341124,0,0
포인트,걸리는,0.9961498975753784,0,0
서류와,번,0.9963551759719848,0,0
서류와,설명해주세요,0.9963043332099916,0,4
서류와,함께,0.996312141418457,0,0
서류와,음성,0.9962670803070068,0,4
서류와,여행,0.9966765642166138,0,0
서류와,결합할인을,0.996514618396759,0,0
도움이,구매,0.9964099526405334,1,1
도움이,할인받아서,0.9963378310203552,1,1
도움이,일부,0.9961754679679872,1,1
구매,할인되나요,0.996176540851593,1,1
구매,방식에,0.9963881969451904,1,0
구매,1년,0.9962862133979796,1,1
구매,다르지만,0.9973552227020264,1,1
구매,약정으로,0.996673345565796,1,1
구매,동안,0.9961673617362976,1,1
구매,기간이,0.9964948892593384,1,8
구매,때,0.9962080121040344,1,1
구매,기종과,0.9967445135116576,1,1
구매,할인받아서,0.9967621564865112,1,1
구매,<STORAGE_AMOUNT>의,0.9966898560523988,1,1
할인받아서,할인되나요,0.9966347217559814,1,1
할인받아서,다르지만,0.9967884421348572,1,1
할인받아서,약정으로,0.9965587854385376,1,1
할인받아서,용량은,0.9961596727371216,1,1
할인받아서,때,0.996210753917694,1,1
할인받아서,사용을,0.9965888261795044,1,2
할인받아서,가능하십니다,0.9963060021400452,1,0
할인받아서,여행,0.9961985349655152,1,0
할인받아서,기종과,0.9965172410011292,1,1
할인받아서,2년,0.996467649936676,1,1
일부,1년,0.9965044260025024,1,1
일부,약정으로,0.996457815170288,1,1
젠장,할인해,0.996499478816986,2,2
젠장,사용을,0.996267020702362,2,2
젠장,줄여야,0.996212601661682,2,2
할인해,줄여야,0.9963816404342652,2,2
할인해,그런,0.996616005897522,2,2
사용을,<CHARGE>원,0.9961464405059814,2,2
사용을,줄여야,0.9964802265167236,2,2
사용을,추천합니다,0.9962120056152344,2,4
사용을,그런,0.9962705373764038,2,2
사용료는,<DATA_PRICE>원,0.9972630739212036,3,3
사용료는,통화료는,0.9963307976722716,3,3
<DATA_PRICE>원,통화료는,0.9963262677192688,3,3
번,거야,0.9970299005508424,0,0
번,청구된,0.9969897866249084,0,4
번,그런,0.9966300129890442,0,2
번,여행,0.996536135673523,0,0
번,<CHARGE>원,0.9964767694473268,0,2
번,싸지는데요,0.9964155554771424,0,2
번,드리는,0.996289074420929,0,0
번,방식에,0.9962787628173828,0,0
번,걸리는,0.9961631298065186,0,0
거야,결합할인을,0.996737778186798,0,0
거야,가능하십니다,0.9964917302131652,0,0
거야,<CHARGE>원,0.9964187741279602,0,2
거야,그런,0.9963578581809998,0,2
거야,드리는,0.9962496161460876,0,0
거야,받고,0.9961917996406556,0,8
거야,함께,0.9961668252944946,0,0
청구된,설명,0.9961752891540528,4,4
청구된,설명해주세요,0.9963626265525818,4,4
청구된,추천합니다,0.9961506724357604,4,4
그런,설명해주세요,0.9963489770889282,2,4
그런,일본이야,0.99633127450943,2,2
그런,<CHARGE>원,0.9965025186538696,2,2
그런,할인율이,0.9962566494941713,2,2
그런,결합할인을,0.996693193912506,2,0
그런,싸지는데요,0.9966115355491638,2,2
여행,걸리는,0.996362030506134,0,0
여행,함께,0.9963556528091432,0,0
여행,결합할인을,0.996544361114502,0,0
<CHARGE>원,GS25,0.9964863657951356,2,2
<CHARGE>원,다르지만,0.9964141249656676,2,1
<CHARGE>원,<STORAGE_AMOUNT>의,0.996303141117096,2,1
<CHARGE>원,드리는,0.9961742162704468,2,0
<CHARGE>원,CU,0.9961562752723694,2,2
해지는,않으셨기,0.9970049262046814,5,5
해지는,주의,0.9965052604675292,5,5
해지는,작성하셔야,0.9964669346809388,5,5
주의,보내드릴까요,0.9962720274925232,5,5
작성하셔야,보내드릴까요,0.9962927103042604,5,5
작성하셔야,바랍니다,0.9966564178466796,5,5
알았어,보내드릴까요,0.9965396523475648,5,5
알았어,<DISCOUNT_CHARGE>원입니다,0.9961976408958436,5,5
알았어,내일,0.9961751103401184,5,5
보내드릴까요,사항을,0.9961534738540648,5,5
보내드릴까요,오후로,0.9968156814575196,5,5
보내드릴까요,내일,0.9964796900749208,5,5
<DISCOUNT_CHARGE>원입니다,홈페이지나,0.9966961741447448,5,5
내일,줄,0.9964857697486876,5,5
내일,없어요,0.99673193693161,5,5
GS25,다르지만,0.9962857961654664,2,1
GS25,CU,0.9962470531463624,2,2
다르지만,할인되나요,0.9970468878746032,1,1
다르지만,1년,0.9962942600250244,1,1
다르지만,<STORAGE_AMOUNT>의,0.9969637393951416,1,1
다르지만,용량은,0.996733546257019,1,1
다르지만,때,0.996730387210846,1,1
다르지만,약정으로,0.996604025363922,1,1
다르지만,기종과,0.9964424967765808,1,1
CU,카드를,0.9961654543876648,2,2
CU,<DATA>입니다,0.9968794584274292,2,2
CU,때,0.9963988065719604,2,1
CU,아이폰,0.9963180422782898,2,2
동봉된,다,0.997188687324524,0,0
어디인가요,좋아,0.9962668418884276,8,8
어디인가요,접수해,0.9962313771247864,8,8
그래,함께,0.9961633682250975,0,0
그래,변경은,0.9963041543960572,0,8
그래,멤버십에,0.9963697791099548,0,0
그래,결합할인을,0.9963505864143372,0,0
멤버십에,함께,0.9963880777359008,0,0
함께,결합할인을,0.9968676567077636,0,0
할인되나요,용량은,0.996607780456543,1,1
할인되나요,<STORAGE_AMOUNT>의,0.9964903593063354,1,1
할인되나요,약정으로,0.9964601993560792,1,1
용량은,<STORAGE_AMOUNT>의,0.9962636828422546,1,1
<STORAGE_AMOUNT>의,1년,0.9961609840393066,1,1
<STORAGE_AMOUNT>의,약정으로,0.996241569519043,1,1
약정으로,1년,0.9972209334373474,1,1
약정으로,2년,0.9968155026435852,1,1
약정으로,가능하십니다,0.99658465385437,1,0
약정으로,기종과,0.9965375065803528,1,1
약정으로,동안,0.996359407901764,1,1
약정으로,확인할,0.9962763786315918,1,1
결합할인을,카드를,0.9961689710617064,0,2
결합할인을,중,0.996308207511902,0,0
가능하십니다,좋아,0.9967332482337952,0,8
가능하십니다,중,0.996870219707489,0,0
받고,싶은데,0.9969945549964904,8,8
설명,음성,0.9968910217285156,4,4
설명,그래요,0.9967116713523864,4,4
설명,절약되실,0.9964143633842468,4,4
설명,<VOICE_AMOUNT>,0.996296226978302,4,4
음성,설명해주세요,0.9966423511505128,4,4
그래요,절약되실,0.996209681034088,4,4
<VOICE_AMOUNT>,추천합니다,0.996498167514801,4,4
좋아,기간이,0.9964730739593506,8,8
좋아,보내주시면,0.9963494539260864,8,8
