source,target,weight,source_community,target_community
1년,약정으로,0.9972209334373474,0,0
1년,2년,0.9967042207717896,0,0
1년,일부,0.9965044260025024,0,0
1년,"다르지만,",0.9962942600250244,0,0
1년,구매,0.9962862133979796,0,0
1년,기종과,0.9962196946144104,0,0
1년,<STORAGE_AMOUNT>의,0.9961609840393066,0,0
약정으로,2년,0.9968155026435852,0,0
약정으로,구매,0.996673345565796,0,0
약정으로,"다르지만,",0.996604025363922,0,0
약정으로,가능하십니다.,0.99658465385437,0,2
약정으로,할인받아서,0.9965587854385376,0,0
약정으로,기종과,0.9965375065803528,0,0
약정으로,할인되나요?,0.9964601993560792,0,0
약정으로,일부,0.996457815170288,0,0
약정으로,동안,0.996359407901764,0,0
약정으로,<STORAGE_AMOUNT>의,0.996241569519043,0,0
2년,할인받아서,0.996467649936676,0,0
일부,도움이,0.9961754679679872,0,0
"다르지만,",용량은,0.996733546257019,0,0
"다르지만,",기종과,0.9964424967765808,0,0
"다르지만,",구매,0.9973552227020264,0,0
"다르지만,","GS25,",0.9962857961654664,0,5
"다르지만,",할인되나요?,0.9970468878746032,0,0
"다르지만,",<CHARGE>원,0.9964141249656676,0,5
"다르지만,",<STORAGE_AMOUNT>의,0.9969637393951416,0,0
"다르지만,",할인받아서,0.9967884421348572,0,0
"다르지만,",때,0.996730387210846,0,0
구매,도움이,0.9964099526405334,0,0
구매,기종과,0.9967445135116576,0,0
구매,동안,0.9961673617362976,0,0
구매,기간이,0.9964948892593384,0,2
구매,할인받아서,0.9967621564865112,0,0
구매,<STORAGE_AMOUNT>의,0.9966898560523988,0,0
구매,때,0.9962080121040344,0,0
구매,할인되나요?,0.996176540851593,0,0
기종과,할인받아서,0.9965172410011292,0,0
<STORAGE_AMOUNT>의,용량은,0.9962636828422546,0,0
<STORAGE_AMOUNT>의,할인되나요?,0.9964903593063354,0,0
<STORAGE_AMOUNT>의,<CHARGE>원,0.996303141117096,0,5
거죠?,이렇게,0.9962550401687622,1,1
가능하십니다.,"좋아,",0.9967332482337952,2,2
가능하십니다.,거야?,0.9964917302131652,2,5
가능하십니다.,할인받아서,0.9963060021400452,2,0
할인받아서,용량은,0.9961596727371216,0,0
할인받아서,도움이,0.9963378310203552,0,0
할인받아서,사용을,0.9965888261795044,0,5
할인받아서,할인되나요?,0.9966347217559814,0,0
할인받아서,여행,0.9961985349655152,0,4
할인받아서,때,0.996210753917694,0,0
할인되나요?,용량은,0.996607780456543,0,0
동안,기간이,0.9965547323226928,0,2
싶은데,변경은,0.996979594230652,4,4
변경은,그래.,0.9963041543960572,4,4
걸리는,여행,0.996362030506134,4,4
걸리는,번,0.9961631298065186,4,5
걸리는,포인트,0.9961498975753784,4,4
여행,결합할인을,0.996544361114502,4,4
여행,함께,0.9963556528091432,4,4
여행,번,0.996536135673523,4,5
여행,서류와,0.9966765642166138,4,4
번,청구된,0.9969897866249084,5,3
번,드리는,0.996289074420929,5,5
번,그런,0.9966300129890442,5,5
번,거야?,0.9970299005508424,5,5
번,<CHARGE>원,0.9964767694473268,5,5
번,서류와,0.9963551759719848,5,4
포인트,멤버십에,0.9962494373321532,4,4
포인트,함께,0.9961660504341124,4,4
포인트,서류와,0.9967642426490784,4,4
포인트,어디인가요?,0.9966386556625366,4,2
포인트,그래.,0.9962607622146606,4,4
멤버십에,함께,0.9963880777359008,4,4
멤버십에,그래.,0.9963697791099548,4,4
함께,결합할인을,0.9968676567077636,4,4
함께,거야?,0.9961668252944946,4,5
함께,서류와,0.996312141418457,4,4
함께,그래.,0.9961633682250975,4,4
그래.,결합할인을,0.9963505864143372,4,4
줄여야,사용을,0.9964802265167236,5,5
줄여야,할인해,0.9963816404342652,5,5
줄여야,"젠장,",0.996212601661682,5,5
사용을,추천합니다.,0.9962120056152344,5,3
사용을,그런,0.9962705373764038,5,5
사용을,"젠장,",0.996267020702362,5,5
사용을,<CHARGE>원,0.9961464405059814,5,5
할인해,그런,0.996616005897522,5,5
할인해,"젠장,",0.996499478816986,5,5
청구된,설명해주세요.,0.9963626265525818,3,3
청구된,설명,0.9961752891540528,3,3
청구된,추천합니다.,0.9961506724357604,3,3
