source,target,weight
1년,약정으로,0.9972209334373474
1년,2년,0.9967042207717896
1년,일부,0.9965044260025024
1년,"다르지만,",0.9962942600250244
1년,구매,0.9962862133979796
1년,기종과,0.9962196946144104
1년,<STORAGE_AMOUNT>의,0.9961609840393066
거죠?,이렇게,0.9962550401687622
약정으로,2년,0.9968155026435852
약정으로,구매,0.996673345565796
약정으로,"다르지만,",0.996604025363922
약정으로,가능하십니다.,0.99658465385437
약정으로,할인받아서,0.9965587854385376
약정으로,기종과,0.9965375065803528
약정으로,할인되나요?,0.9964601993560792
약정으로,일부,0.996457815170288
약정으로,동안,0.996359407901764
약정으로,<STORAGE_AMOUNT>의,0.996241569519043
싶은데,변경은,0.996979594230652
용량은,"다르지만,",0.996733546257019
용량은,할인되나요?,0.996607780456543
용량은,<STORAGE_AMOUNT>의,0.9962636828422546
용량은,할인받아서,0.9961596727371216
걸리는,여행,0.996362030506134
걸리는,번,0.9961631298065186
걸리는,포인트,0.9961498975753784
도움이,구매,0.9964099526405334
도움이,할인받아서,0.9963378310203552
도움이,일부,0.9961754679679872
멤버십에,함께,0.9963880777359008
멤버십에,그래.,0.9963697791099548
멤버십에,포인트,0.9962494373321532
줄여야,사용을,0.9964802265167236
줄여야,할인해,0.9963816404342652
줄여야,"젠장,",0.996212601661682
변경은,그래.,0.9963041543960572
청구된,번,0.9969897866249084
청구된,설명해주세요.,0.9963626265525818
청구된,설명,0.9961752891540528
청구된,추천합니다.,0.9961506724357604
할인해,그런,0.996616005897522
할인해,"젠장,",0.996499478816986
알았어.,보내드릴까요?,0.9965396523475648
알았어.,<DISCOUNT_CHARGE>원입니다.,0.9961976408958436
알았어.,내일,0.9961751103401184
기종과,구매,0.9967445135116576
기종과,할인받아서,0.9965172410011292
기종과,"다르지만,",0.9964424967765808
된,홈페이지나,0.9961586594581604
드리는,번,0.996289074420929
드리는,거야?,0.9962496161460876
드리는,<CHARGE>원,0.9961742162704468
보내드릴까요?,내일,0.9964796900749208
보내드릴까요?,작성하셔야,0.9962927103042604
2년,할인받아서,0.996467649936676
작성하셔야,해지는,0.9964669346809388
추천합니다.,사용을,0.9962120056152344
사용을,할인받아서,0.9965888261795044
사용을,그런,0.9962705373764038
사용을,"젠장,",0.996267020702362
사용을,<CHARGE>원,0.9961464405059814
동안,기간이,0.9965547323226928
동안,구매,0.9961673617362976
결합할인을,함께,0.9968676567077636
결합할인을,거야?,0.996737778186798
결합할인을,그런,0.996693193912506
결합할인을,여행,0.996544361114502
결합할인을,서류와,0.996514618396759
결합할인을,그래.,0.9963505864143372
CU,때,0.9963988065719604
CU,아이폰,0.9963180422782898
CU,"GS25,",0.9962470531463624
CU,<CHARGE>원,0.9961562752723694
"좋아,",가능하십니다.,0.9967332482337952
"좋아,",기간이,0.9964730739593506
"좋아,",상태,0.996283233165741
"좋아,",어디인가요?,0.9962668418884276
그런,번,0.9966300129890442
그런,<CHARGE>원,0.9965025186538696
그런,거야?,0.9963578581809998
그런,설명해주세요.,0.9963489770889282
늘어서,음성통화도,0.996492862701416
늘어서,많아서,0.9963984489440918
많아서,음성통화도,0.9968013167381288
기간이,구매,0.9964948892593384
기간이,상태,0.996253490447998
거야?,번,0.9970299005508424
거야?,가능하십니다.,0.9964917302131652
거야?,<CHARGE>원,0.9964187741279602
거야?,함께,0.9961668252944946
줄,내일,0.9964857697486876
줄,홈페이지나,0.9961847066879272
구매,"다르지만,",0.9973552227020264
구매,할인받아서,0.9967621564865112
구매,<STORAGE_AMOUNT>의,0.9966898560523988
구매,때,0.9962080121040344
구매,할인되나요?,0.996176540851593
"GS25,",<CHARGE>원,0.9964863657951356
"GS25,","다르지만,",0.9962857961654664
할인되나요?,"다르지만,",0.9970468878746032
할인되나요?,할인받아서,0.9966347217559814
할인되나요?,<STORAGE_AMOUNT>의,0.9964903593063354
함께,여행,0.9963556528091432
함께,서류와,0.996312141418457
함께,포인트,0.9961660504341124
함께,그래.,0.9961633682250975
포인트,서류와,0.9967642426490784
포인트,어디인가요?,0.9966386556625366
포인트,그래.,0.9962607622146606
번,여행,0.996536135673523
번,<CHARGE>원,0.9964767694473268
번,서류와,0.9963551759719848
여행,서류와,0.9966765642166138
여행,할인받아서,0.9961985349655152
홈페이지나,<DISCOUNT_CHARGE>원입니다.,0.9966961741447448
설명,음성,0.9968910217285156
음성,설명해주세요.,0.9966423511505128
음성,서류와,0.9962670803070068
<CHARGE>원,"다르지만,",0.9964141249656676
<CHARGE>원,<STORAGE_AMOUNT>의,0.996303141117096
"다르지만,",<STORAGE_AMOUNT>의,0.9969637393951416
"다르지만,",할인받아서,0.9967884421348572
"다르지만,",때,0.996730387210846
때,할인받아서,0.996210753917694
서류와,설명해주세요.,0.9963043332099916
할인받아서,가능하십니다.,0.9963060021400452
